Consum(kWh),Duration_hours,Site,CP ID,Connector Type,Connector,Start_hour,End_hour,Day_of_week,is_weekend,season
4768.816,371.2705556,"Lochee Charging Hub, Aimer Square, Dundee",61611,rapid,DD2 3BH,12,14,6,1,0
4540.285,383.7061111,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,12,13,0,0,0
5331.043,358.7516667,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,19,20,1,0,0
6864.582,502.2755556,Clepington Road - 4th Hub,61611,rapid,DD3 8PL,12,16,3,0,0
7315.193,411.9855556,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,13,12,4,0,0
6920.278,416.2558333,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,14,12,5,1,0
5189.462,264.9894444,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,11,13,6,1,0
5393.838,432.2819444,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,9,8,0,0,0
5023.224,426.8308333,"Lochee Charging Hub, Aimer Square, Dundee",61615,rapid,DD2 3BH,13,15,1,0,0
5283.977,466.3772222,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,13,14,2,0,0
6588.083,466.0833333,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,16,16,3,0,0
6470.636,455.2319444,Clepington Road - 4th Hub,61614,rapid,DD3 8PL,14,15,4,0,0
6281.815,332.7508333,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,10,11,5,1,0
5694.93,279.8783333,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,13,16,6,1,0
6517.97,441.6344444,"Lochee Charging Hub, Aimer Square, Dundee",61615,rapid,DD2 3BH,14,14,0,0,0
4615.564,270.1486111,"Princes Street Charging Hub, Dundee",APT51422,rapid,DD4 6BY,11,14,1,0,0
3266.401,210.5122222,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,12,15,2,0,0
3612.278,224.7822222,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,14,14,3,0,0
5353.756,325.2572222,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,12,13,4,0,0
4761.941,284.1183333,"Lochee Charging Hub, Aimer Square, Dundee",APT51547,rapid,DD2 3BH,14,15,5,1,0
4549.863,295.2563889,"Princes Street Charging Hub, Dundee",61615,rapid,DD4 6BY,15,15,6,1,0
4404.004,299.2452778,Clepington Road - 4th Hub,61615,rapid,DD3 8PL,10,10,0,0,0
4882.624,249.6997222,"Princes Street Charging Hub, Dundee",51548,rapid,DD4 6BY,23,23,1,0,0
