Total kWh,Total_time_hours,CP ID,Connector,Site,Model,Start_hour,End_hour,Day_of_week,is_weekend,season
435.012,51.21666667,50745,2," Leslie Street Car Park, Blairgowrie",APT Triple Rapid Charger,16,17,4,0,1
380.615,49.58333333,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,13,14,5,1,1
344.943,27.25,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,18,17,6,1,1
390.783,23.28333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,10,12,0,0,1
344.188,19.95,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,17,15,1,0,1
457.689,75.41666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,8,11,2,0,1
330.81,27.38333333,50282,2,"Rie-Achan Road Car Park, Pitlochry",APT Triple Rapid Charger,12,12,3,0,1
451.541,37.45,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,13,9,4,0,1
484.085,34.8,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,13,14,5,1,1
459.25,59.15,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,13,14,6,1,1
650.911,58.35,50745,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,11,13,0,0,1
638.043,62.86666667,51249,2,Kinross Park and Ride,APT Triple Rapid Charger,12,14,1,0,1
860.851,96.55,51516,2,"Kinross Park and Ride, Kinross",APT Triple Rapid Charger,13,13,2,0,1
309.492,46.48333333,50282,1,Canal Street Car Park 3rd floor ,APT Triple Rapid Charger,10,11,3,0,1
302.76,34.01666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,17,13,4,0,1
309.75,25.73333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,13,15,5,1,1
227.769,23.08333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,13,12,6,1,1
386.73,49,50245,1,Broxden Park & Ride,APT Triple Rapid Charger,12,12,0,0,1
430.226,65.68333334,50811,2,***TEST SITE*** Charge Your Car HQ,APT Triple Rapid Charger,11,11,1,0,1
332.814,65.26666667,50245,1,Broxden Park & Ride,APT Triple Rapid Charger,9,17,2,0,1
331.754,51.43333333,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,9,16,3,0,1
277.819,48.1,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,11,13,4,0,1
314.095,42,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,12,13,5,1,1
384.573,29.33333334,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,17,13,6,1,1
441.754,50.88333333,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,13,13,0,0,1
408.194,54.6,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,8,13,1,0,1
380.017,41.61666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,14,15,2,0,1
431.173,57.71666667,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,11,11,3,0,1
346.067,56.11666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,10,17,4,0,1
426.846,39.65,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,10,10,5,1,1
312.341,27.78333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,10,15,6,1,1
327.425,46.2,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,7,17,0,0,1
317.359,29.33333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,17,15,1,0,1
287.036,18,50994,2,South Inch Car Park,APT Triple Rapid Charger,10,11,2,0,1
371.886,37.45,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,13,16,3,0,1
365.98,55.15,51250,1,Broxden Park & Ride,APT Triple Rapid Charger,11,11,4,0,1
219.627,39.98333333,50245,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,8,15,5,1,1
444.24,39.81666666,51516,2,Kinross Park and Ride,APT Triple Rapid Charger,17,17,6,1,1
531.676,31.25,50995,1,"Rie-Achan Road Car Park, Pitlochry",APT Triple Rapid Charger,10,15,0,0,1
485.166,63.09999999,51516,2,Kinross Park and Ride,APT Triple Rapid Charger,9,14,1,0,1
741.615,83.01666667,50745,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,10,12,2,0,1
643.481,43.11666667,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,14,12,3,0,1
611.727,77.31666667,50993,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,11,12,4,0,1
323.636,43.75,50282,2,"Rie-Achan Road Car Park, Pitlochry",APT Triple Rapid Charger,11,12,5,1,1
407.257,34.5,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,15,15,6,1,1
433.76,72.85,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,15,17,0,0,1
390.061,58.6,51250,2,"Crown Inn Wynd Car Park, Auchterarder",APT Triple Rapid Charger,8,10,1,0,1
277.343,36.73333333,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,8,16,2,0,1
354.868,68.13333334,51516,1,Kinross Park and Ride,APT Triple Rapid Charger,8,15,3,0,1
529.788,68.36666667,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,14,18,4,0,1
496.513,68.1,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,14,15,5,1,1
439.303,37.35,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,16,16,6,1,1
374.703,56.41666667,50286,2,"King Street Car Park, Crieff",APT Triple Rapid Charger,13,13,0,0,1
430.029,56.46666666,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,14,17,1,0,1
240.12,42.28333333,50282,2,"King Street Car Park, Crieff",APT Triple Rapid Charger,8,15,2,0,1
509.997,65.98333333,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,8,16,3,0,1
420.875,49.98333333,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,15,13,4,0,1
309.865,42.78333334,50282,2,"Rie-Achan Road Car Park, Pitlochry",APT Triple Rapid Charger,12,15,5,1,1
247.07,25.21666667,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,13,16,6,1,1
405.741,43.31666666,50286,2,"Broxden Park & Ride, Perth",APT Triple Rapid Charger,11,15,0,0,1
