Total Duration (hours),Charging Time (hours),Energy (kWh),Fee,Station Name,MAC Address,Port Type,Port Number,Plug Type,Address 1,Postal Code,Latitude,Longitude,Start Hour,End Hour,Day of Week,is_weekend,season
22.27277778,18.55361111,64.145386,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,9,20,4,0,3
21.15722222,11.06861111,34.519695,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,2,0,5,1,3
4.961388889,4.724999999,19.11414,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,7,9,6,1,3
22.98888889,16.92388889,58.417859,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,8,15,0,0,3
20.31194444,19.11833333,66.886469,0,PALO ALTO CA / HIGH #4,000D6F0000A20F47,Level 2,2,J1772,250 Hamilton Ave,94301,37.443676,-122.16288,8,11,1,0,3
25.14555556,19.81972222,69.481502,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,11,10,2,0,3
33.8225,22.64,77.562957,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,14,22,3,0,3
18.75055556,14.57638889,49.206097,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,18,15,4,0,3
16.00888889,9.946388891,31.219986,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.162331,12,10,5,1,3
10.22833333,9.980833333,34.648392,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,12,1,6,1,3
32.58583333,24.20638889,77.190123,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,13,15,0,0,3
29.06055556,21.85444444,73.308149,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,13,15,1,0,3
35.43888889,31.61972222,110.600631,0,PALO ALTO CA / BRYANT #2,000D6F0000A2108E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,17,17,2,0,3
23.30277778,20.90361111,71.90711,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.162331,8,14,3,0,3
36.85416667,30.66444444,108.055058,0,PALO ALTO CA / BRYANT #1,000D6F0000A20D9E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,8,11,4,0,3
19.89944445,16.18777778,60.440956,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,13,14,5,1,3
32.26361111,10.67777778,41.912224,0,PALO ALTO CA / BRYANT #2,000D6F0000A2108E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,10,9,6,1,3
19.55972222,17.92027778,67.704711,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,13,11,0,0,3
31.06833333,27.43138889,94.483733,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,12,13,1,0,3
35.50111111,24.68111111,87.837995,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,14,11,2,0,3
28.915,20.72194444,79.493547,0,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,15,14,3,0,3
40.28694445,35.25972222,123.046871,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.162331,21,11,4,0,3
31.51555555,13.01444445,43.800598,0,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,1,7,5,1,3
21.69361111,18.29888889,65.408994,0,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,17,20,6,1,3
27.51944445,15.95805556,58.228258,0,PALO ALTO CA / BRYANT #1,000D6F0000A20D9E,Level 2,2,J1772,250 Hamilton Ave,94301,37.446373,-122.162331,7,11,0,0,3
